column,current_dtype,semantic_type,semantic_confidence,severity,quality_score,unique_count,unique_ratio,cardinality,outlier_pct_iqr,skewness,zero_pct,row_count,missing_count_x,missing_pct_x,non_null_count,dominant_value,dominant_value_ratio,zero_ratio,sample_values,top_values,bool_token_ratio,numeric_parse_ratio,datetime_parse_ratio,avg_str_len,max_str_len,min_str_len,whitespace_ratio,special_char_ratio,empty_string_ratio,semantic_review_flag,missing_count_y,missing_pct_y,missing_severity,high_missingness_flag,severe_missingness_flag,mixed_null_tokens_flag,missing_token_count,missing_indicator_candidate,drop_candidate_extreme_missing,kurtosis,high_outlier_flag,moderate_skew_flag,severe_skew_flag,zero_heavy_flag,scaling_candidate,log_transform_candidate,dominant_category_ratio,rare_label_count,rare_label_ratio,high_cardinality_flag,rare_label_burden_flag,dirty_label_cluster_flag,dirty_label_cluster_count,dirty_label_cluster_examples,encoding_hint,whitespace_issue_flag,empty_string_issue_flag,special_character_flag,case_inconsistency_flag,possible_format_inconsistency_flag,id_like_flag,possible_primary_key_flag,possible_reference_key_flag,key_review_flag,datetime_flag,date_parse_success_ratio,min_date,max_date,year_span,future_date_flag,all_same_date_flag,date_monotonic_increasing_flag,datetime_feature_candidate,schema_check_available,in_train,in_test,train_dtype,test_dtype,dtype_mismatch_flag,semantic_mismatch_flag,missing_in_test_flag,missing_in_train_flag,schema_mismatch_flag
case_id,object,identifier,0.95,medium,,25480,1.0,25480.0,,,,25480,0,0.0,25480,EZYV01,0.0,0.0,"['EZYV01', 'EZYV02', 'EZYV03', 'EZYV04', 'EZYV05']","{'EZYV01': 1, 'EZYV02': 1, 'EZYV03': 1, 'EZYV04': 1, 'EZYV05': 1}",0.0,0.0,0.0,8.5645,9,6,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.0,25480.0,1.0,True,True,False,0.0,[],frequency_or_target_review,False,False,False,False,False,True,True,False,True,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
case_status,object,target,1.0,low,,2,7.8e-05,2.0,,,,25480,0,0.0,25480,Certified,0.6679,0.0,"['Denied', 'Certified', 'Denied', 'Denied', 'Certified']","{'Certified': 17018, 'Denied': 8462}",0.0,0.0,0.0,8.0037,9,6,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.6679,0.0,0.0,False,False,False,0.0,[],one_hot,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
continent,object,categorical,0.8,low,,6,0.000235,6.0,,,,25480,0,0.0,25480,Asia,0.6617,0.0,"['Asia', 'Asia', 'Asia', 'Asia', 'Africa']","{'Asia': 16861, 'Europe': 3732, 'North America': 3292, 'South America': 852, 'Africa': 551}",0.0,0.0,0.0,5.8225,13,4,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.6617,1.0,0.1667,False,False,False,0.0,[],one_hot,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
education_of_employee,object,categorical,0.8,low,,4,0.000157,4.0,,,,25480,0,0.0,25480,Bachelor's,0.4016,0.0,"['High School', ""Master's"", ""Bachelor's"", ""Bachelor's"", ""Master's""]","{""Bachelor's"": 10234, ""Master's"": 9634, 'High School': 3420, 'Doctorate': 2192}",0.0,0.0,0.0,9.292,11,8,0.0,0.7797,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.4016,0.0,0.0,False,False,False,0.0,[],one_hot,False,False,True,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
full_time_position,object,binary_flag,0.9,low,,2,7.8e-05,2.0,,,,25480,0,0.0,25480,Y,0.8938,0.0,"['Y', 'Y', 'Y', 'Y', 'Y']","{'Y': 22773, 'N': 2707}",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.8938,0.0,0.0,False,False,False,0.0,[],binary_map,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
has_job_experience,object,binary_flag,0.9,low,,2,7.8e-05,2.0,,,,25480,0,0.0,25480,Y,0.5809,0.0,"['N', 'Y', 'N', 'N', 'Y']","{'Y': 14802, 'N': 10678}",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.5809,0.0,0.0,False,False,False,0.0,[],binary_map,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
no_of_employees,int64,numeric_continuous,0.82,medium,96.95,7105,0.278846,,6.1068,12.2653,0.0,25480,0,0.0,25480,183,0.0007,0.0,"['14513', '2412', '44444', '98', '1082']","{183: 18, 854: 16, 724: 16, 766: 15, 1476: 15}",0.0,1.0,0.1314,3.8016,6,2,0.0,0.0013,0.0,False,0,0.0,none,False,False,False,0,False,False,206.335,True,True,True,False,True,False,,,,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,int64,,False,False,False,False,False
prevailing_wage,float64,numeric_continuous,0.82,low,99.16,25454,0.99898,,1.6758,0.7558,0.0,25480,0,0.0,25480,109.06,0.0001,0.0,"['592.2029', '83425.65', '122996.86', '83434.03', '149907.39']","{109.06: 2, 118.43: 2, 60948.15: 2, 110.51: 2, 88664.77: 2}",0.0,1.0,0.0018,8.1168,9,5,0.0,1.0,0.0,False,0,0.0,none,False,False,False,0,False,False,0.8243,False,False,False,False,True,False,,,,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,float64,,False,False,False,False,False
region_of_employment,object,categorical,0.8,low,,5,0.000196,5.0,,,,25480,0,0.0,25480,Northeast,0.2824,0.0,"['West', 'Northeast', 'West', 'West', 'South']","{'Northeast': 7195, 'South': 7017, 'West': 6586, 'Midwest': 4307, 'Island': 375}",0.0,0.0,0.0,6.2238,9,4,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.2824,0.0,0.0,False,False,False,0.0,[],one_hot,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
requires_job_training,object,binary_flag,0.9,low,,2,7.8e-05,2.0,,,,25480,0,0.0,25480,N,0.884,0.0,"['N', 'N', 'Y', 'N', 'N']","{'N': 22525, 'Y': 2955}",0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.884,0.0,0.0,False,False,False,0.0,[],binary_map,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
unit_of_wage,object,categorical,0.8,low,,4,0.000157,4.0,,,,25480,0,0.0,25480,Year,0.9012,0.0,"['Hour', 'Year', 'Year', 'Year', 'Year']","{'Year': 22962, 'Hour': 2157, 'Week': 272, 'Month': 89}",0.0,0.0,0.0,4.0035,5,4,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,,False,False,False,False,,,0.9012,1.0,0.25,False,False,False,0.0,[],one_hot,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,,False,True,,object,,False,False,False,False,False
yr_of_estab,int64,datetime,0.95,medium,93.6,199,0.00781,,12.7943,-2.0373,0.0,25480,0,0.0,25480,1998,0.0445,0.0,"['2007', '2002', '2008', '1897', '2005']","{1998: 1134, 2005: 1051, 2001: 1017, 2007: 994, 1999: 870}",0.0,1.0,1.0,4.0,4,4,0.0,0.0,0.0,False,0,0.0,none,False,False,False,0,False,False,3.507,True,True,True,False,True,True,,,,False,False,False,,,,False,False,False,False,False,False,False,False,False,True,1.0,1800-01-01,2016-01-01,216.0,False,False,True,True,False,True,,int64,,False,False,False,False,False
